book_id,book_title,strategy,canonical_node_id,canonical_source_key,canonical_node_type,canonical_title,canonical_parent_id,canonical_order,coverage_status,linked_current_section_ids,linked_current_count,linked_actions
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:chapter:fbf5afa69b837271,fbf5afa69b837271,chapter,Do princípio vital,o-livro-dos-espiritos:division:ebde4b3effbf1881,22,covered,[4180],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:048e354ea05b4ae4,048e354ea05b4ae4,section,Seres orgânicos e inorgânicos,o-livro-dos-espiritos:chapter:fbf5afa69b837271,23,covered,[4181],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:6b2ac889843632cd,6b2ac889843632cd,section,A vida e a morte,o-livro-dos-espiritos:chapter:fbf5afa69b837271,24,covered,[4182],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:60bfb323273be3de,60bfb323273be3de,section,Inteligência e instinto,o-livro-dos-espiritos:chapter:fbf5afa69b837271,25,covered,[4183],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:division:20ca3a4d1b9795b2,20ca3a4d1b9795b2,division,PARTE SEGUNDA — Do mundo espírita ou mundo dos Espíritos,,26,covered,[4184],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:chapter:4a7586bee3a51565,4a7586bee3a51565,chapter,Dos Espíritos,o-livro-dos-espiritos:division:20ca3a4d1b9795b2,27,covered,[4186],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:272497554a8d6863,272497554a8d6863,section,Origem e natureza dos Espíritos,o-livro-dos-espiritos:chapter:4a7586bee3a51565,28,covered,[4187],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:1fef70d32f93dd1e,1fef70d32f93dd1e,section,Mundo normal primitivo,o-livro-dos-espiritos:chapter:4a7586bee3a51565,29,covered,[4188],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:1cb41316817bc6a9,1cb41316817bc6a9,section,Forma e ubiquidade dos Espíritos,o-livro-dos-espiritos:chapter:4a7586bee3a51565,30,covered,[4189],1,"{""keep"": 1}"
1,O Livro dos Espíritos,full-staging-reconstruction,o-livro-dos-espiritos:section:abad294a42268a74,abad294a42268a74,section,Perispírito,o-livro-dos-espiritos:chapter:4a7586bee3a51565,31,covered,[4190],1,"{""keep"": 1}"
