book_id,book_title,section_id,sec_position,kind,part_title,chapter_label,chapter_title,section_title,record_title,stored_word_count,calculated_word_count,content_character_count,paragraph_block_count,normalized_content_md5
1,O Livro dos Espíritos,4175,33,content,Parte Primeira — Das causas primárias,CAPÍTULO III,Da criação,Formação dos seres vivos,Formação dos seres vivos,554,568,3401,15,f6a38f23bb1a7f124336feedbe6c8ce6
1,O Livro dos Espíritos,4176,34,content,Parte Primeira — Das causas primárias,CAPÍTULO III,Da criação,Povoamento da Terra. Adão,Povoamento da Terra. Adão,151,155,879,5,a05a222387c9cdcd08dd3a8b3144a189
1,O Livro dos Espíritos,4177,35,content,Parte Primeira — Das causas primárias,CAPÍTULO III,Da criação,Diversidade das raças humanas,Diversidade das raças humanas,172,179,1041,8,c517337dbfece7424fc84192d57d4a7e
1,O Livro dos Espíritos,4178,36,content,Parte Primeira — Das causas primárias,CAPÍTULO III,Da criação,Pluralidade dos mundos,Pluralidade dos mundos,425,434,2514,10,61ae9d1bda7e83095fa9dad0f41cde74
1,O Livro dos Espíritos,4179,37,content,Parte Primeira — Das causas primárias,CAPÍTULO III,Da criação,concernentes à Criação,concernentes à Criação,1230,1238,7309,9,fdde3a2a2d85db329c99049c3cd2a6a2
1,O Livro dos Espíritos,4180,38,chapter_intro,Parte Primeira — Das causas primárias,CAPÍTULO IV,Do princípio vital,null,CAPÍTULO IV — Do princípio vital,13,15,76,1,7496a7c48f7dbbab0393af2ec0498b3e
1,O Livro dos Espíritos,4181,39,content,Parte Primeira — Das causas primárias,CAPÍTULO IV,Do princípio vital,Seres orgânicos e inorgânicos,Seres orgânicos e inorgânicos,534,555,3201,22,29e2328d62da9bbfbe88c630ea8656a8
1,O Livro dos Espíritos,4182,40,content,Parte Primeira — Das causas primárias,CAPÍTULO IV,Do princípio vital,A vida e a morte,A vida e a morte,529,543,3208,15,cad5d7ad2c01075b50da20db50aa9c8a
1,O Livro dos Espíritos,4183,41,content,Parte Primeira — Das causas primárias,CAPÍTULO IV,Do princípio vital,Inteligência e instinto,Inteligência e instinto,480,497,3033,18,fee03872a041b6c970de638a650c13c0
1,O Livro dos Espíritos,4184,42,part_intro,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,null,null,null,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,7,7,40,1,b21294c981f4cd2ea523bb40eb56bc6e
1,O Livro dos Espíritos,4185,43,content,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,null,null,null,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,79,79,498,1,2712376f1aa180f406a05b8b2e0f4e81
1,O Livro dos Espíritos,4186,44,chapter_intro,Parte Segunda — Do mundo espírita ou mundo dos Espíritos,CAPÍTULO I,Dos Espíritos,null,CAPÍTULO I — Dos Espíritos,42,49,310,1,7f606eeb4612bc936a596c8e9493199d
